ID,y_true,prob,pred,error,abs_error
8959,1,0.02739838,0,1,0.9726016200000001
25772,1,0.03986572,0,1,0.96013428
4719,1,0.04375438,0,1,0.95624562
22126,1,0.048878293,0,1,0.951121707
5836,1,0.052259322,0,1,0.947740678
8797,1,0.05354882,0,1,0.94645118
27255,0,0.9440761,1,1,0.9440761
22712,1,0.056587566,0,1,0.943412434
11090,1,0.05771631,0,1,0.94228369
25877,1,0.057852518,0,1,0.942147482
1667,0,0.94063306,1,1,0.94063306
12495,1,0.05950356,0,1,0.94049644
7778,1,0.060582962,0,1,0.939417038
4475,0,0.9386997,1,1,0.9386997
6560,1,0.062909044,0,1,0.937090956
28183,1,0.06347402,0,1,0.93652598
8431,0,0.9327933,1,1,0.9327933
1565,1,0.06731642,0,1,0.93268358
14784,1,0.06986748,0,1,0.93013252
12616,1,0.07071292,0,1,0.92928708
8094,1,0.07146507,0,1,0.92853493
2704,0,0.9280681,1,1,0.9280681
12297,1,0.07195937,0,1,0.92804063
16572,0,0.9270924,1,1,0.9270924
13381,1,0.07307049,0,1,0.92692951
16277,1,0.073096894,0,1,0.926903106
21008,1,0.07323721,0,1,0.92676279
11579,1,0.07389081,0,1,0.92610919
9852,1,0.073981136,0,1,0.926018864
18327,1,0.07415993,0,1,0.92584007
4727,1,0.07452573,0,1,0.92547427
18448,1,0.07537445,0,1,0.92462555
6552,1,0.075536124,0,1,0.924463876
12036,0,0.9244531,1,1,0.9244531
12433,0,0.92442405,1,1,0.92442405
11511,0,0.9244127,1,1,0.9244127
8408,0,0.92403495,1,1,0.92403495
14709,0,0.92373264,1,1,0.92373264
5080,0,0.92351055,1,1,0.92351055
20128,1,0.07659663,0,1,0.92340337
10084,0,0.922999,1,1,0.922999
24802,0,0.9215507,1,1,0.9215507
9677,0,0.92040914,1,1,0.92040914
16310,0,0.92027074,1,1,0.92027074
15607,1,0.07986273,0,1,0.92013727
9365,1,0.07990461,0,1,0.92009539
1175,1,0.08092543,0,1,0.91907457
22061,0,0.9189769,1,1,0.9189769
17748,0,0.9189392,1,1,0.9189392
9125,1,0.08178399,0,1,0.91821601
4249,0,0.9181779,1,1,0.9181779
17279,0,0.91773164,1,1,0.91773164
25443,1,0.08252163,0,1,0.91747837
1087,1,0.08419414,0,1,0.91580586
10432,1,0.084291875,0,1,0.915708125
1209,1,0.085065335,0,1,0.914934665
13451,0,0.91473204,1,1,0.91473204
11116,1,0.08528485,0,1,0.91471515
23507,1,0.085361704,0,1,0.914638296
27724,0,0.914531,1,1,0.914531
8724,0,0.9143304,1,1,0.9143304
28302,0,0.9139046,1,1,0.9139046
18039,0,0.9138459,1,1,0.9138459
1629,0,0.9135482,1,1,0.9135482
22416,0,0.9133778,1,1,0.9133778
1522,0,0.91288996,1,1,0.91288996
2501,1,0.0871948,0,1,0.9128052
